network,node number,x,y,z,name,description
AM,1,-1,-53,21,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,2,-26,-28,-17,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,3,-49,-61,31,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,4,-2,51,-11,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,5,-60,-9,-18,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,6,-50,27,-12,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,7,26,-33,-15,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,8,-1,20,57,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,9,55,-58,30,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,10,-47,9,46,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
